Run,Assay Type,AvgSpotLen,Bank,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Drug_concentration_ug/ml,Experiment,Generations,Genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SAMPLE_TYPE,SRA Study,Strain,TEST,Time,TREATMENT
SRR7686625,Tn-Seq,51,GPN4,352178307,PRJNA485590,SAMN09810176,"Microbe\, viral or environmental",156853968,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,SRX4547290,7-8_generations_broth,GYRA_PARC_ADEN,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,GYRA_PARC_ADEN_0_CIP_BGPN4_T2_1,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,GYRA_PARC_ADEN_0_CIP_BGPN4_T2_1,Broth Culture,SRP157243,ATCC 17978,TEST-1,T2,CIP
SRR7686626,Tn-Seq,51,GPN5,395976189,PRJNA485590,SAMN09810177,"Microbe\, viral or environmental",176158784,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,SRX4547289,0_generations_broth,GYRA_PARC_ADEN,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,GYRA_PARC_ADEN_0_CIP_BGPN5_T1_1,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,GYRA_PARC_ADEN_0_CIP_BGPN5_T1_1,Broth Culture,SRP157243,ATCC 17978,TEST-1,T1,CIP
SRR7686627,Tn-Seq,51,GPN17,210727614,PRJNA485590,SAMN09810172,"Microbe\, viral or environmental",94267496,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",70,SRX4547288,7-8_generations_broth,GYRA_PARC_ADEN,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,GYRA_PARC_ADEN_60_CIP_BGPN17_T2_1,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,GYRA_PARC_ADEN_60_CIP_BGPN17_T2_1,Broth Culture,SRP157243,ATCC 17978,TEST-1,T2,CIP
SRR7686628,Tn-Seq,51,GPN17,289807755,PRJNA485590,SAMN09810173,"Microbe\, viral or environmental",128474222,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,SRX4547287,7-8_generations_broth,GYRA_PARC_ADEN,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,GYRA_PARC_ADEN_0_CIP_BGPN17_T2_1,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,GYRA_PARC_ADEN_0_CIP_BGPN17_T2_1,Broth Culture,SRP157243,ATCC 17978,TEST-1,T2,CIP
SRR7686629,Tn-Seq,51,GPN4,293747658,PRJNA485590,SAMN09810174,"Microbe\, viral or environmental",130980952,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,SRX4547286,0_generations_broth,GYRA_PARC_ADEN,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,GYRA_PARC_ADEN_0_CIP_BGPN4_T1_1,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,GYRA_PARC_ADEN_0_CIP_BGPN4_T1_1,Broth Culture,SRP157243,ATCC 17978,TEST-1,T1,CIP
SRR7686630,Tn-Seq,51,GPN4,424516911,PRJNA485590,SAMN09810175,"Microbe\, viral or environmental",190198070,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",70,SRX4547285,7-8_generations_broth,GYRA_PARC_ADEN,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,GYRA_PARC_ADEN_60_CIP_BGPN4_T2_1,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,GYRA_PARC_ADEN_60_CIP_BGPN4_T2_1,Broth Culture,SRP157243,ATCC 17978,TEST-1,T2,CIP
SRR7686631,Tn-Seq,51,GPN15,358655409,PRJNA485590,SAMN09810168,"Microbe\, viral or environmental",159334887,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",55,SRX4547284,7-8_generations_broth,GYRA_PARC_ADEN,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,GYRA_PARC_ADEN_60_CIP_BGPN15_T2_1,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,GYRA_PARC_ADEN_60_CIP_BGPN15_T2_1,Broth Culture,SRP157243,ATCC 17978,TEST-1,T2,CIP
SRR7686632,Tn-Seq,51,GPN16,300927693,PRJNA485590,SAMN09810169,"Microbe\, viral or environmental",132952164,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,SRX4547283,0_generations_broth,GYRA_PARC_ADEN,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,GYRA_PARC_ADEN_0_CIP_BGPN16_T1_1,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,GYRA_PARC_ADEN_0_CIP_BGPN16_T1_1,Broth Culture,SRP157243,ATCC 17978,TEST-1,T1,CIP
SRR7686633,Tn-Seq,51,GPN16,431973672,PRJNA485590,SAMN09810170,"Microbe\, viral or environmental",194121597,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",65,SRX4547282,7-8_generations_broth,GYRA_PARC_ADEN,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,GYRA_PARC_ADEN_60_CIP_BGPN16_T2_1,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,GYRA_PARC_ADEN_60_CIP_BGPN16_T2_1,Broth Culture,SRP157243,ATCC 17978,TEST-1,T2,CIP
SRR7686634,Tn-Seq,51,GPN17,341318775,PRJNA485590,SAMN09810171,"Microbe\, viral or environmental",152203515,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,SRX4547281,0_generations_broth,GYRA_PARC_ADEN,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,GYRA_PARC_ADEN_0_CIP_BGPN17_T1_1,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,GYRA_PARC_ADEN_0_CIP_BGPN17_T1_1,Broth Culture,SRP157243,ATCC 17978,TEST-1,T1,CIP
SRR7686635,Tn-Seq,51,L1F,646844322,PRJNA485590,SAMN09810027,"Microbe\, viral or environmental",310011223,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,SRX4547280,7-8_generations_broth,WT,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,WT_0_CIP_BL1F_T2_2,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,WT_0_CIP_BL1F_T2_2,Broth Culture,SRP157243,ATCC 17978,TEST_2,T2,CIP
SRR7686636,Tn-Seq,51,L1F,464979291,PRJNA485590,SAMN09810026,"Microbe\, viral or environmental",223895574,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0.09-0.10,SRX4547279,7-8_generations_broth,WT,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,WT_09_CIP_BL1F_T2_2,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,WT_09_CIP_BL1F_T2_2,Broth Culture,SRP157243,ATCC 17978,TEST_2,T2,CIP
SRR7686637,Tn-Seq,51,L1F,500000073,PRJNA485590,SAMN09810025,"Microbe\, viral or environmental",240751901,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0.075,SRX4547278,7-8_generations_broth,WT,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,WT_075_CIP_BL1F_T2_2,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,WT_075_CIP_BL1F_T2_2,Broth Culture,SRP157243,ATCC 17978,TEST_2,T2,CIP
SRR7686638,Tn-Seq,51,FD5,378160869,PRJNA485590,SAMN09810024,"Microbe\, viral or environmental",174765604,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,SRX4547277,0_generations_broth,WT,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,WT_0_CIP_BFD5_T1_2,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,WT_0_CIP_BFD5_T1_2,Broth Culture,SRP157243,ATCC 17978,TEST_2,T1,CIP
SRR7686639,Tn-Seq,51,FD5,364643472,PRJNA485590,SAMN09810023,"Microbe\, viral or environmental",168679849,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,SRX4547276,7-8_generations_broth,WT,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,WT_0_CIP_BFD5_T2_2,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,WT_0_CIP_BFD5_T2_2,Broth Culture,SRP157243,ATCC 17978,TEST_2,T2,CIP
SRR7686640,Tn-Seq,51,FD5,412532676,PRJNA485590,SAMN09810022,"Microbe\, viral or environmental",194768948,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0.09-0.10,SRX4547275,7-8_generations_broth,WT,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,WT_09_CIP_BFD5_T2_2,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,WT_09_CIP_BFD5_T2_2,Broth Culture,SRP157243,ATCC 17978,TEST_2,T2,CIP
SRR7686641,Tn-Seq,51,FD5,385709787,PRJNA485590,SAMN09810021,"Microbe\, viral or environmental",178113312,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0.075,SRX4547274,7-8_generations_broth,WT,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,WT_075_CIP_BFD5_T2_2,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,WT_075_CIP_BFD5_T2_2,Broth Culture,SRP157243,ATCC 17978,TEST_2,T2,CIP
SRR7686642,Tn-Seq,51,FD4A,390186363,PRJNA485590,SAMN09810020,"Microbe\, viral or environmental",181269361,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,SRX4547273,0_generations_broth,WT,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,WT_0_CIP_BFD4A _T1_2,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,WT_0_CIP_BFD4A _T1_2,Broth Culture,SRP157243,ATCC 17978,TEST_2,T1,CIP
SRR7686643,Tn-Seq,51,FD4A,316712703,PRJNA485590,SAMN09810019,"Microbe\, viral or environmental",147492832,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,SRX4547272,7-8_generations_broth,WT,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,WT_0_CIP_BFD4A  _T2_2,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,WT_0_CIP_BFD4A  _T2_2,Broth Culture,SRP157243,ATCC 17978,TEST_2,T2,CIP
SRR7686644,Tn-Seq,51,FD4A,437530530,PRJNA485590,SAMN09810018,"Microbe\, viral or environmental",202657315,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0.09-0.10,SRX4547271,7-8_generations_broth,WT,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,WT_09_CIP_BFD4A _T2_2,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,WT_09_CIP_BFD4A _T2_2,Broth Culture,SRP157243,ATCC 17978,TEST_2,T2,CIP
SRR7686645,Tn-Seq,51,GPN8_9,212210031,PRJNA485590,SAMN09810159,"Microbe\, viral or environmental",93999668,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,SRX4547270,7-8_generations_broth,GYRA_PARC_ADEN,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,GYRA_PARC_ADEN_0_CIP_BGPN8_9_T2_1,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,GYRA_PARC_ADEN_0_CIP_BGPN8_9_T2_1,Broth Culture,SRP157243,ATCC 17978,TEST-1,T2,CIP
SRR7686646,Tn-Seq,51,GPN8_9,342259674,PRJNA485590,SAMN09810158,"Microbe\, viral or environmental",151100883,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",55,SRX4547269,7-8_generations_broth,GYRA_PARC_ADEN,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,GYRA_PARC_ADEN_60_CIP_BGPN8_9_T2_1,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,GYRA_PARC_ADEN_60_CIP_BGPN8_9_T2_1,Broth Culture,SRP157243,ATCC 17978,TEST-1,T2,CIP
SRR7686647,Tn-Seq,51,GPN13_1,363064614,PRJNA485590,SAMN09810161,"Microbe\, viral or environmental",162238266,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,SRX4547268,0_generations_broth,GYRA_PARC_ADEN,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,GYRA_PARC_ADEN_0_CIP_BGPN13_1_T1_1,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,GYRA_PARC_ADEN_0_CIP_BGPN13_1_T1_1,Broth Culture,SRP157243,ATCC 17978,TEST-1,T1,CIP
SRR7686648,Tn-Seq,51,GPN12,447459924,PRJNA485590,SAMN09810160,"Microbe\, viral or environmental",200845857,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",60,SRX4547267,7-8_generations_broth,GYRA_PARC_ADEN,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,GYRA_PARC_ADEN_60_CIP_BGPN12_T2_1,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,GYRA_PARC_ADEN_60_CIP_BGPN12_T2_1,Broth Culture,SRP157243,ATCC 17978,TEST-1,T2,CIP
SRR7686649,Tn-Seq,51,GPN13_1,393157419,PRJNA485590,SAMN09810163,"Microbe\, viral or environmental",176151489,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,SRX4547266,7-8_generations_broth,GYRA_PARC_ADEN,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,GYRA_PARC_ADEN_0_CIP_BGPN13_1_T2_1,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,GYRA_PARC_ADEN_0_CIP_BGPN13_1_T2_1,Broth Culture,SRP157243,ATCC 17978,TEST-1,T2,CIP
SRR7686650,Tn-Seq,51,GPN13_1,342584289,PRJNA485590,SAMN09810162,"Microbe\, viral or environmental",152588234,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",70,SRX4547265,7-8_generations_broth,GYRA_PARC_ADEN,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,GYRA_PARC_ADEN_60_CIP_BGPN13_1_T2_1,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,GYRA_PARC_ADEN_60_CIP_BGPN13_1_T2_1,Broth Culture,SRP157243,ATCC 17978,TEST-1,T2,CIP
SRR7686651,Tn-Seq,51,GPN14,300806160,PRJNA485590,SAMN09810165,"Microbe\, viral or environmental",133864222,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",60,SRX4547264,7-8_generations_broth,GYRA_PARC_ADEN,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,GYRA_PARC_ADEN_60_CIP_BGPN14_T2_1,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,GYRA_PARC_ADEN_60_CIP_BGPN14_T2_1,Broth Culture,SRP157243,ATCC 17978,TEST-1,T2,CIP
SRR7686652,Tn-Seq,51,GPN14,448587177,PRJNA485590,SAMN09810164,"Microbe\, viral or environmental",199657814,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,SRX4547263,0_generations_broth,GYRA_PARC_ADEN,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,GYRA_PARC_ADEN_0_CIP_BGPN14_T1_1,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,GYRA_PARC_ADEN_0_CIP_BGPN14_T1_1,Broth Culture,SRP157243,ATCC 17978,TEST-1,T1,CIP
SRR7686653,Tn-Seq,51,GPN15,514015077,PRJNA485590,SAMN09810167,"Microbe\, viral or environmental",228011518,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,SRX4547262,0_generations_broth,GYRA_PARC_ADEN,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,GYRA_PARC_ADEN_0_CIP_BGPN15_T1_1,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,GYRA_PARC_ADEN_0_CIP_BGPN15_T1_1,Broth Culture,SRP157243,ATCC 17978,TEST-1,T1,CIP
SRR7686654,Tn-Seq,51,GPN14,304998921,PRJNA485590,SAMN09810166,"Microbe\, viral or environmental",136039017,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,SRX4547261,7-8_generations_broth,GYRA_PARC_ADEN,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,GYRA_PARC_ADEN_0_CIP_BGPN14_T2_1,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,GYRA_PARC_ADEN_0_CIP_BGPN14_T2_1,Broth Culture,SRP157243,ATCC 17978,TEST-1,T2,CIP
